dice,iou,accuracy,hd95,sensitivity,precision,model,image,tumour_type
0.9656510770424995,0.9335834896810506,0.9979743957519531,3.0,0.9468476468349613,0.9852164730728616,proposed_pruned,brisc2025_test_00387_me_ax_t1.jpg,meningioma
0.9057498518079431,0.8277356446370531,0.9963607788085938,11.40175425099138,0.984959174903309,0.8383321141185077,proposed_pruned,brisc2025_test_00717_pi_ax_t1.jpg,pituitary
0.4666666666666667,0.30434782608695654,0.98284912109375,91.04806403311373,0.7389181066867018,0.34101941747572817,proposed_pruned,brisc2025_test_00132_gl_co_t1.jpg,glioma
0.9455292908530318,0.8966861598440545,0.9991912841796875,2.8284271247461903,0.9618400418191323,0.9297625063163214,proposed_pruned,brisc2025_test_00457_me_co_t1.jpg,meningioma
0.9779268231643226,0.9568070519098922,0.9983177185058594,2.8284271247461903,0.9847782258064516,0.9711700964310568,proposed_pruned,brisc2025_test_00461_me_co_t1.jpg,meningioma
0.8770144189991518,0.7809667673716012,0.9988937377929688,6.094852169800149,0.9763928234183191,0.7959969207082371,proposed_pruned,brisc2025_test_00782_pi_ax_t1.jpg,pituitary
0.8880415944540728,0.7986284289276808,0.9987678527832031,6.798919902340896,0.8138500635324015,0.977116704805492,proposed_pruned,brisc2025_test_00030_gl_ax_t1.jpg,glioma
0.9295612009237876,0.8683926645091694,0.9990692138671875,3.0,0.9126984126984127,0.9470588235294117,proposed_pruned,brisc2025_test_00803_pi_ax_t1.jpg,pituitary
0.9741839562073393,0.9496673035114302,0.9970855712890625,3.605551275463989,0.9680343831844739,0.9804121607835136,proposed_pruned,brisc2025_test_00265_me_ax_t1.jpg,meningioma
0.4827092773670403,0.31813895001571835,0.9917259216308594,47.43416490252569,0.3262411347517731,0.9275893675527039,proposed_pruned,brisc2025_test_00471_me_co_t1.jpg,meningioma
0.9137780367025925,0.8412443014212926,0.99774169921875,40.64669152870418,0.9584479071188512,0.873086557194545,proposed_pruned,brisc2025_test_00215_gl_sa_t1.jpg,glioma
0.1336934503713707,0.07163531114327062,0.9951057434082031,31.11430460383743,0.07184325108853411,0.9611650485436893,proposed_pruned,brisc2025_test_00058_gl_ax_t1.jpg,glioma
0.9225352112676056,0.8562091503267973,0.9994964599609375,2.8284271247461903,0.943577430972389,0.9024110218140069,proposed_pruned,brisc2025_test_00947_pi_sa_t1.jpg,pituitary
0.6443037974683544,0.4752567693744164,0.9935684204101562,44.89762341703763,0.9282674772036474,0.4933764135702746,proposed_pruned,brisc2025_test_00390_me_ax_t1.jpg,meningioma
0.9242276710631141,0.8591294330617955,0.9869384765625,24.42526083299262,0.988356683074593,0.8679135494596841,proposed_pruned,brisc2025_test_00298_me_ax_t1.jpg,meningioma
0.9208366428382314,0.8532875368007851,0.9931564331054688,12.083045973594572,0.9096774193548387,0.9322730521801287,proposed_pruned,brisc2025_test_00164_gl_co_t1.jpg,glioma
0.8939740655987796,0.8082758620689655,0.9989395141601562,4.300014504089359,0.9272151898734177,0.8630338733431517,proposed_pruned,brisc2025_test_00276_me_ax_t1.jpg,meningioma
0.8768882175226587,0.7807666442501682,0.9987564086914062,3.0,0.8364553314121037,0.9214285714285714,proposed_pruned,brisc2025_test_00911_pi_co_t1.jpg,pituitary
0.0,0.0,0.9947509765625,221.39553360357507,0.0,0.0,proposed_pruned,brisc2025_test_00011_gl_ax_t1.jpg,glioma
0.962589928057554,0.9278779472954231,0.998016357421875,5.0,0.9900843569631493,0.9365812683746325,proposed_pruned,brisc2025_test_00546_me_sa_t1.jpg,meningioma
0.939695902413882,0.8862513165356882,0.9946441650390625,17.239466114613336,0.8999588646647471,0.9831041610496989,proposed_pruned,brisc2025_test_00408_me_co_t1.jpg,meningioma
0.9189636163175303,0.8500764915859256,0.9988784790039062,4.0,0.9365168539325842,0.9020562770562771,proposed_pruned,brisc2025_test_00343_me_ax_t1.jpg,meningioma
