model,dice,dice_median,iou,accuracy,hd95,sensitivity,precision,gflops,params_M,size_mb,latency_ms
proposed_pruned,0.8699145005702174,0.9286235569461228,0.7949167118512256,0.9962247085571289,14.774247065792416,0.8951750893617404,0.871390860520564,5.075,3.28,12.86,41.2
proposed,0.8692009247524175,0.9312018119808066,0.7933629827238152,0.996030158996582,14.488899804328101,0.8869761193669045,0.8717367956139519,14.927,8.84,34.06,46.8
unet_pso,0.835158489965297,0.9172058454455798,0.7549106011429417,0.9952408981323242,25.98126000221004,0.8843227756432858,0.8202641840903669,7.623,4.37,16.84,53.4
