,flops_g,params_m,model_size_mb,batched_mean_latency_s_per_image,single_image_mean_latency_s,single_image_std_latency_s,Mean_Dice,Mean_IoU,Mean_Accuracy,Mean_HD95_px
baseline,27.363639296,7.768929,29.813838958740234,0.01798213536676485,0.06059914579964243,0.1233777976882544,0.814709,0.731206,0.995079,33.146409
innovation_unpruned,28.406362816,27.106752,104.796142578125,0.1381577240099432,0.45816102903336287,1.4512355874300917,0.85973,0.775371,0.995707,12.52635
innovation_pruned,28.406362816,27.106752,104.796142578125,0.1381577240099432,0.45816102903336287,1.4512355874300917,0.859932,0.776169,0.995742,15.270038
SOTA_PAPER_NAME_HERE,,,,,,,,,,
