config,params,dice_all,dice_lesion_only,iou_all,dice_benign,dice_malignant,dice_normal,n_over_85
4b_full_current,4168993,0.6426833671642124,0.7028236462709625,0.5649717052535781,0.6981662982281236,0.7133325341624963,0.37931042073120336,72
5_pretrained_mobilenetv2,6120101,0.7124952876133037,0.6940886921058728,0.634000201836531,0.6899923912067201,0.7033316274680634,0.7931034817320536,81
4_res_attn_aspp,2696213,0.6903198005968532,0.682597548411794,0.6109352996978822,0.6785468189660613,0.6917376558790883,0.7241379394762506,72
3_residual_attention,2072853,0.6803746522564809,0.6388853973137371,0.6086964708511002,0.6525147257085201,0.608132040935765,0.8620689756264276,79
2_residual,2028609,0.6836562556965953,0.6271683131418169,0.6121275229983097,0.6373331721153438,0.6042322210989871,0.9310344868847623,79
1_plain_unet,1940817,0.558060078405574,0.5201367853336216,0.48080195237505546,0.5783733975740978,0.3887310961756239,0.7241379480655038,52
