filename,class,dice,iou,true_px,pred_px
malignant (79).png,malignant,0.7987516869265561,0.6649347002296118,4911,6945
malignant (104).png,malignant,0.8063350503723891,0.675512044354565,5689,7318
malignant (69).png,malignant,0.8201526718106404,0.695134575727156,1681,1594
benign (140).png,benign,0.8215916747906272,0.6972045743713844,5498,7859
benign (15).png,benign,0.8237410075112572,0.7003058113140495,231,325
benign (62).png,benign,0.8258285156073749,0.7033287101659739,5203,7078
malignant (46).png,malignant,0.826119969693956,0.7037516172679485,1481,1153
benign (39).png,benign,0.8275862070108845,0.7058823532738887,627,881
benign (169).png,benign,0.8300835659329149,0.7095238109070294,167,192
benign (420).png,benign,0.8313648294239887,0.7113980910411571,3488,2608
malignant (194).png,malignant,0.8351583308915126,0.7169715447873548,2868,3890
benign (170).png,benign,0.8367816092423042,0.7193675890714587,1461,2019
benign (87).png,benign,0.8503086420908113,0.7395973157857754,551,745
benign (241).png,benign,0.8525101341276863,0.7429347827484051,1408,1799
benign (194).png,benign,0.8581713463944051,0.7515762928731698,780,609
benign (83).png,benign,0.8583333334809028,0.7518248179711225,474,486
malignant (32).png,malignant,0.8599335807911767,0.7542837560393619,5150,5088
benign (179).png,benign,0.8627450984877612,0.7586206910424098,161,145
malignant (54).png,malignant,0.863288155608931,0.7594608606742038,1666,1728
malignant (136).png,malignant,0.8645763843013421,0.7614571094233508,1640,1358
benign (358).png,benign,0.8673630896272988,0.7657909447927385,1385,1774
malignant (24).png,malignant,0.8677191072490664,0.7663461538742372,6440,8256
benign (404).png,benign,0.8715787875385651,0.7723878086676722,11892,14451
benign (64).png,benign,0.8831918226080623,0.7908178329059036,12759,11503
benign (78).png,benign,0.8891786181366641,0.8004694840364566,362,405
benign (161).png,benign,0.889763779672226,0.801418440185772,359,403
benign (53).png,benign,0.8912710567448154,0.8038674035858185,598,708
benign (29).png,benign,0.8927536234992649,0.8062827235273156,166,179
benign (137).png,benign,0.8948787063411339,0.8097560980249852,341,401
benign (245).png,benign,0.8970588236051038,0.8133333335822223,668,692
benign (382).png,benign,0.8975775605754954,0.8141865844733522,3245,3814
benign (253).png,benign,0.8992650238221941,0.8169677927596483,1150,1163
benign (167).png,benign,0.9009584666118874,0.8197674423843969,295,331
benign (59).png,benign,0.9023591088131195,0.8220895523450211,1626,1426
malignant (202).png,malignant,0.9070720138090694,0.8299467350897718,4467,4809
malignant (38).png,malignant,0.9074215761993714,0.8305322131225039,708,599
malignant (129).png,malignant,0.9080519933739836,0.8315890389205409,11838,11088
benign (389).png,benign,0.9106098580529575,0.8358895708038504,613,584
benign (115).png,benign,0.9107806692278989,0.836177474682291,512,564
benign (112).png,benign,0.9122426869856526,0.8386454186481167,428,495
malignant (124).png,malignant,0.9123922684367507,0.8388982920697187,5572,6379
malignant (182).png,malignant,0.912413358545021,0.8389339513558902,6555,6141
benign (148).png,benign,0.9127040454532633,0.8394255875721766,1292,1526
benign (151).png,benign,0.9157894738319483,0.8446601946774751,270,300
malignant (150).png,malignant,0.9195346582679135,0.8510542844436179,12169,12587
malignant (17).png,malignant,0.9227495211911578,0.8565784275556783,2236,2463
benign (338).png,benign,0.9227557412886102,0.8565891478426777,242,237
benign (125).png,benign,0.9230769231929458,0.8571428575430172,315,348
benign (244).png,benign,0.9231884058527621,0.8573351280520388,645,735
benign (365).png,benign,0.9235955056609014,0.8580375784362865,841,939
benign (46).png,benign,0.9246935202719904,0.8599348538764336,282,289
benign (129).png,benign,0.9260606061502296,0.8623024833808071,400,425
benign (106).png,benign,0.9274946159888768,0.8647925035277209,656,737
benign (369).png,benign,0.928671328771089,0.8668407314181704,334,381
benign (403).png,benign,0.93019234926192,0.8694949495213141,4368,4886
benign (185).png,benign,0.9310344829072533,0.8709677424557752,216,248
benign (370).png,benign,0.9315317132266279,0.8718384296202646,4796,5121
benign (372).png,benign,0.9341130604416934,0.8763716167240777,2441,2689
benign (72).png,benign,0.934289591018746,0.8766824300193953,2466,2693
benign (2).png,benign,0.9346777729352574,0.877366255244966,1124,1157
benign (79).png,benign,0.9346853564167357,0.8773796193295746,1654,1699
benign (376).png,benign,0.9354352296137467,0.878702034525019,7267,7323
benign (274).png,benign,0.9355614055241431,0.8789247312088333,4445,4292
benign (307).png,benign,0.9365187713743899,0.8806161747360511,734,731
benign (155).png,benign,0.9365369548267777,0.8806483300882494,3658,4000
malignant (131).png,malignant,0.9366532405944148,0.8808539945724146,1387,1344
benign (284).png,benign,0.9370824053627276,0.8816134102244036,1825,1767
benign (80).png,benign,0.9374215291127059,0.8822139303629087,7124,8009
malignant (183).png,malignant,0.9390234525229509,0.8850558052058188,6535,6470
benign (406).png,benign,0.9398066783897401,0.8864484044992854,4473,4631
benign (40).png,benign,0.9402092676082143,0.8871650213157052,636,702
benign (145).png,benign,0.9410628019893112,0.8886861315899888,514,521
benign (34).png,benign,0.9418707583529446,0.8901282766926223,1624,1765
benign (68).png,benign,0.9424427480959967,0.8911505702481376,6256,6844
benign (95).png,benign,0.9428571429251701,0.8918918921353787,410,430
benign (98).png,benign,0.9429102167218012,0.891986879112935,8229,7921
benign (350).png,benign,0.9433661260378402,0.8928032209630591,3662,3860
benign (27).png,benign,0.9443813848531426,0.8946236561405942,419,462
benign (56).png,benign,0.9446550417122428,0.8951149425789681,1959,1998
benign (75).png,benign,0.9449171518383712,0.8955857386285351,1113,1120
benign (385).png,benign,0.9478439425265528,0.9008587042147863,1183,1252
malignant (167).png,malignant,0.947872340429493,0.9009100101255366,6719,6441
benign (326).png,benign,0.9501484607047744,0.905031259331637,3055,3344
benign (432).png,benign,0.9516878916612719,0.9078287698002975,2402,2545
benign (399).png,benign,0.9546745427746592,0.913279721818457,4339,4464
malignant (87).png,malignant,0.955181273200802,0.9142076502966646,3590,3416
benign (229).png,benign,0.9558908879988709,0.9155086159446867,1752,1694
benign (10).png,benign,0.9573529411843101,0.9181946403673502,2605,2835
benign (168).png,benign,0.9576999339201256,0.918833227698901,1467,1559
benign (234).png,benign,0.9577428826812533,0.9189122979130543,3950,3883
benign (66).png,benign,0.9578893962669257,0.9191820838177389,975,996
benign (386).png,benign,0.9581483830189764,0.919659160121936,1590,1564
benign (6).png,benign,0.9586402266523285,0.9205658325129861,877,888
benign (26).png,benign,0.9619512195168353,0.9266917293405329,4018,4182
benign (434).png,benign,0.967353782427522,0.9367717287608841,4974,5165
