filename,class,dice,iou,true_px,pred_px
benign (342).png,benign,1.5248551385292991e-10,1.5248551385292991e-10,6558,0
malignant (177).png,malignant,2.0470829064386727e-10,2.0470829064386727e-10,1699,3186
benign (224).png,benign,2.5940337217654905e-10,2.5940337217654905e-10,3855,0
benign (313).png,benign,5.070993912235804e-10,5.070993912235804e-10,646,1326
malignant (81).png,malignant,5.125576624743425e-10,5.125576624743425e-10,1951,0
benign (383).png,benign,5.133470223237437e-10,5.133470223237437e-10,1948,0
malignant (106).png,malignant,5.506607926483145e-10,5.506607926483145e-10,1816,0
benign (418).png,benign,1.3458950183769918e-09,1.3458950183769918e-09,743,0
benign (416).png,benign,1.3850415493281973e-09,1.3850415493281973e-09,722,0
benign (402).png,benign,0.03897007721713982,0.019872250518188608,1409,28
malignant (116).png,malignant,0.11726495741585213,0.062284365523463885,1483,4367
benign (407).png,benign,0.12331161615101609,0.065707028021532,10972,1614
malignant (157).png,malignant,0.14026641002403042,0.07542285138498052,608,5623
benign (127).png,benign,0.1472059455270536,0.07945078693621554,515,6482
benign (90).png,benign,0.17176372049779484,0.09395050453989437,206,2181
benign (183).png,benign,0.18586038275417502,0.10245098083213186,209,2040
benign (317).png,benign,0.1921688422126718,0.10629800334675944,2699,902
benign (314).png,benign,0.22009830714907203,0.12365756393873656,2148,1514
benign (391).png,benign,0.22403846166281435,0.12615051450529677,4212,2028
benign (193).png,benign,0.2295081970626902,0.12962963006525044,295,1962
malignant (192).png,malignant,0.2488696679282741,0.14211944338973517,693,4394
benign (220).png,benign,0.25782472627976827,0.1479901192122187,765,4347
malignant (147).png,malignant,0.3007606791686596,0.17699724574586964,1452,257
benign (221).png,benign,0.3429513608054811,0.2069651749184426,211,1002
benign (384).png,benign,0.34804753847705966,0.2106885923891631,1943,413
malignant (95).png,malignant,0.42157451931767204,0.2670854751062087,3414,3242
malignant (64).png,malignant,0.46946564910807936,0.30673316751450547,1563,533
malignant (172).png,malignant,0.47480916037216164,0.31131131142620766,1905,5955
benign (159).png,benign,0.478386167648044,0.3143939402596036,254,787
benign (153).png,benign,0.5704809294021875,0.399071927148325,176,427
malignant (41).png,malignant,0.6226392962319485,0.4520524613435441,2790,5735
malignant (34).png,malignant,0.6241872562745937,0.4536862005846178,1334,2511
malignant (78).png,malignant,0.6308411215432449,0.4607508533445675,2791,4913
benign (134).png,benign,0.6349848335338879,0.4651851859775034,341,648
malignant (98).png,malignant,0.6367281478454465,0.4670588241564014,837,410
benign (337).png,benign,0.6451612904712354,0.47619047651441526,842,1545
malignant (99).png,malignant,0.660390516157465,0.4929724104669586,1886,982
benign (91).png,benign,0.6712095405941916,0.5051282063971072,197,390
benign (211).png,benign,0.6720741602872837,0.5061082033052213,529,334
benign (226).png,benign,0.6743925234862085,0.508742245059931,910,1765
benign (88).png,benign,0.6766532700627231,0.5113197130007401,1869,3605
benign (371).png,benign,0.6803121113106059,0.5155098544103667,5347,3496
benign (436).png,benign,0.6879525222922311,0.5243350824092029,3349,5076
malignant (207).png,malignant,0.6889688757475155,0.5255167959422614,3361,6085
malignant (61).png,malignant,0.6921017405006012,0.5291709319046357,962,532
benign (102).png,benign,0.6936810431908362,0.5310196561636918,1729,3256
malignant (164).png,malignant,0.698303861432757,0.5364568894074602,17848,9862
malignant (140).png,malignant,0.7017928014641039,0.5405861270207493,3640,3667
benign (409).png,benign,0.710093699169046,0.5505002175249674,11242,6581
malignant (153).png,malignant,0.7129678719269977,0.5539627616119656,12043,6819
malignant (44).png,malignant,0.7131192162693962,0.5541455164516534,870,967
benign (57).png,benign,0.723104056681566,0.5662983431404719,422,712
malignant (203).png,malignant,0.7425308453408248,0.5904962699334257,5926,3881
malignant (91).png,malignant,0.7463728591964249,0.5953706927261798,5075,4092
malignant (166).png,malignant,0.759439050830939,0.6121739133807182,1149,705
benign (187).png,benign,0.7612903228886576,0.6145833341362847,454,321
malignant (115).png,malignant,0.7676407698204489,0.6229034124861471,2272,3340
malignant (195).png,malignant,0.7735822767330652,0.6307657351021625,5593,8761
malignant (118).png,malignant,0.7755803955529256,0.633426966356491,3608,5696
malignant (144).png,malignant,0.776244310690336,0.6343131374163992,8234,5388
benign (109).png,benign,0.7986137851625448,0.6647435898152256,3331,4460
