model,batched_mean_latency_s_per_image,single_image_mean_latency_s,single_image_std_latency_s
baseline,0.01798213536676485,0.06059914579964243,0.1233777976882544
innovation_unpruned,0.1381577240099432,0.45816102903336287,1.4512355874300917
innovation_pruned,0.1381577240099432,0.45816102903336287,1.4512355874300917
