dice,iou,accuracy,hd95,sensitivity,precision,method,image,tumour_type,seconds
0.9497288582734867,0.9042701646664806,0.9986915588378906,4.188849909443548,0.9286328460877042,0.9718056388722256,proposed,brisc2025_test_00089_gl_co_t1.jpg,glioma,0.07699918746948242
0.9815985790408526,0.9638621459467002,0.9990119934082031,2.0,0.9711795304372276,0.9922436081585752,proposed,brisc2025_test_00718_pi_ax_t1.jpg,pituitary,0.06342124938964844
0.8500727802037845,0.739240506329114,0.9988212585449219,5.385164807134504,0.9279661016949152,0.7842435094001791,proposed,brisc2025_test_00805_pi_ax_t1.jpg,pituitary,0.06093096733093262
0.9775156653151493,0.9560201874549387,0.9983711242675781,3.0,0.9708189519924694,0.9843054082714741,proposed,brisc2025_test_00468_me_co_t1.jpg,meningioma,0.06217169761657715
0.9118733509234829,0.8380213385063046,0.9987258911132812,5.385164807134504,0.8820826952526799,0.9437465865647188,proposed,brisc2025_test_00874_pi_co_t1.jpg,pituitary,0.06385397911071777
0.8622668579626973,0.7578814627994955,0.999267578125,4.116950344336776,0.7970822281167109,0.9390625,proposed,brisc2025_test_00820_pi_ax_t1.jpg,pituitary,0.062007904052734375
0.9642493434099801,0.9309666735665494,0.9974555969238281,5.227784895686539,0.9417862003978641,0.9878102350098836,proposed,brisc2025_test_00275_me_ax_t1.jpg,meningioma,0.06403279304504395
0.8623617185490096,0.7580280416101312,0.9979591369628906,6.479394161199479,0.7887058823529411,0.9511918274687855,proposed,brisc2025_test_00892_pi_co_t1.jpg,pituitary,0.06212306022644043
0.5688768887273482,0.3975038095929178,0.9683265686035156,41.276479604118066,0.8666350261034647,0.42340392641830266,proposed,brisc2025_test_00243_gl_sa_t1.jpg,glioma,0.06128096580505371
0.8936355710549259,0.8077226162332545,0.9990692138671875,5.0643626838353075,0.9743346007604563,0.8252818035426731,proposed,brisc2025_test_00766_pi_ax_t1.jpg,pituitary,0.06286883354187012
0.9393975473270627,0.885720700493938,0.9980583190917969,7.0,0.9075224292615597,0.9735932872655478,proposed,brisc2025_test_00333_me_ax_t1.jpg,meningioma,0.060537099838256836
0.8883263009845288,0.7990890688259109,0.9893989562988281,11.0,0.885515141804198,0.8911553656373458,proposed,brisc2025_test_00046_gl_ax_t1.jpg,glioma,0.06283116340637207
0.9375,0.8823529411764706,0.9996566772460938,2.0,0.9012016021361816,0.9768451519536903,proposed,brisc2025_test_00979_pi_sa_t1.jpg,pituitary,0.05890011787414551
0.9299787814489239,0.8691218130311614,0.9991188049316406,3.1217082451262845,0.9082297217288336,0.9527950310559006,proposed,brisc2025_test_00369_me_ax_t1.jpg,meningioma,0.06147623062133789
0.9648876404494382,0.932157394843962,0.9996185302734375,2.0,0.9744680851063829,0.9554937413073713,proposed,brisc2025_test_00958_pi_sa_t1.jpg,pituitary,0.06165575981140137
0.9423361261705273,0.8909599254426841,0.9995536804199219,2.23606797749979,0.9070208728652751,0.9805128205128205,proposed,brisc2025_test_00213_gl_sa_t1.jpg,glioma,0.06162524223327637
0.926605504587156,0.8632478632478633,0.99945068359375,3.0,0.9588607594936709,0.8964497041420119,proposed,brisc2025_test_00806_pi_ax_t1.jpg,pituitary,0.06335306167602539
0.6560207164436772,0.4881181759794477,0.9726371765136719,41.3920117473293,0.9610791063650415,0.4979615608619686,proposed,brisc2025_test_00160_gl_co_t1.jpg,glioma,0.0637969970703125
0.864624247185127,0.7615313653136532,0.9980278015136719,8.071455423445379,0.942351598173516,0.7987421383647799,proposed,brisc2025_test_00701_pi_ax_t1.jpg,pituitary,0.061788082122802734
