method,dice,dice_median,iou,accuracy,hd95,sensitivity,precision,seconds
proposed,0.8739679506374723,0.9283751816823442,0.8016288385919794,0.9930381774902344,11.368277316207802,0.9143066248490108,0.8634533027037168,0.06276102542877197
chan_vese,0.7813436510989579,0.8886482229609802,0.6909655462107561,0.9920587921142578,16.1233407711627,0.738208214132616,0.8723926807764368,0.1312973165512085
otsu,0.7743949367399747,0.8438143763917,0.6714098519942613,0.9867567443847656,19.01804414210635,0.8333431633714781,0.7825270942986259,0.005335774421691895
kmeans,0.7230200581494226,0.7234947259075946,0.5991264303396678,0.980133056640625,23.7174249962002,0.8345330418352924,0.730032451034704,0.028516788482666016
region_growing,0.6593954464035149,0.7515368985569003,0.542342607092704,0.9840274047851563,21.65042122972263,0.6287666071308141,0.8435905805710837,0.0052749204635620115
