model,params,flops_g,size_mb,tta,mean_dice,median_dice,n_dice_ge_085,mean_iou,mean_accuracy,mean_hd95,mean_latency_s
proposed,11809068,10.1154032,45.04802322387695,False,0.8047514286777857,0.8825522303783173,130,0.7154185183109741,0.9938863118489584,25.899637009502257,0.06764948744375734
proposed,11809068,10.1154032,45.04802322387695,True,0.8202687195231148,0.8905852417302799,135,0.7323232526682802,0.9945867529742793,29.49753985137695,0.2650046006685493
proposed_pruned,7316288,8.264914672,27.909427642822266,False,0.7895278658443058,0.8583543664815749,113,0.6852930666612986,0.9926154254234001,29.09462687907767,0.06392843187462377
proposed_pruned,7316288,8.264914672,27.909427642822266,True,0.807104536738379,0.869639794168096,118,0.7076521161137435,0.9933583681986212,26.869449925278545,0.24260844542569435
baseline_pso_unet,7771297,17.604149248,29.645145416259766,False,0.5701880222746074,0.6227168464871294,30,0.44349347154631813,0.9842768281562143,100.77550048818418,0.07363620646203312
baseline_pso_unet,7771297,17.604149248,29.645145416259766,True,0.5805396000999418,0.6369297610427227,41,0.45764302783368493,0.9849801085310984,99.8353178838997,0.2901106839776294
proposed_pruned_tfmot,7316288,8.264914672,27.909427642822266,False,0.7034067916791893,0.7992459341150909,97,0.6038222243948134,0.9906687453457209,62.006658400107256,0.07797910656182512
proposed_pruned_tfmot,7316288,8.264914672,27.909427642822266,True,0.7248409599985052,0.8405797101449275,103,0.6277401085121679,0.9918393871011255,56.254770096401955,0.24789963378071292
