image,dice,iou,accuracy,hd95_px,precision,recall,cldice
29_A,0.7861,0.6475,0.9682,38.19,0.8012,0.7715,0.7792
2_A,0.7841,0.6449,0.9617,43.29,0.8794,0.7074,0.7748
30_A,0.7787,0.6377,0.9671,29.53,0.7602,0.7982,0.7699
31_A,0.8577,0.7508,0.9746,20.00,0.8780,0.8383,0.8581
32_A,0.8405,0.7249,0.9718,25.55,0.8344,0.8467,0.8572
33_A,0.8262,0.7039,0.9642,27.59,0.8815,0.7774,0.8021
34_A,0.6674,0.5008,0.9443,55.44,0.6050,0.7441,0.6665
35_A,0.8608,0.7557,0.9746,20.59,0.8664,0.8554,0.8735
36_A,0.8641,0.7607,0.9760,19.42,0.8718,0.8565,0.8738
37_A,0.5660,0.3947,0.9582,131.93,0.4638,0.7258,0.4863
38_A,0.7028,0.5417,0.9543,49.82,0.6307,0.7935,0.7321
39_A,0.7519,0.6024,0.9617,41.23,0.7135,0.7946,0.7595
3_A,0.8405,0.7249,0.9663,25.96,0.9250,0.7702,0.8114
40_A,0.7753,0.6331,0.9651,53.08,0.7172,0.8437,0.7756
41_A,0.7519,0.6024,0.9597,35.38,0.7651,0.7391,0.7615
42_A,0.7064,0.5461,0.9537,37.48,0.6962,0.7169,0.7275
43_A,0.6416,0.4723,0.9505,52.89,0.5922,0.7001,0.6575
44_A,0.7979,0.6637,0.9624,24.04,0.7753,0.8217,0.8368
45_A,0.7634,0.6174,0.9667,52.70,0.6953,0.8462,0.7777
46_A,0.6060,0.4348,0.9392,77.93,0.5563,0.6656,0.5878
47_A,0.6860,0.5220,0.9625,57.98,0.5798,0.8397,0.6794
48_A,0.8398,0.7238,0.9716,26.00,0.8353,0.8443,0.8568
49_A,0.8647,0.7616,0.9760,10.05,0.8591,0.8703,0.9022
4_A,0.8153,0.6882,0.9699,26.63,0.8318,0.7995,0.7894
50_A,0.7520,0.6025,0.9606,47.17,0.7309,0.7743,0.7570
51_D,0.4054,0.2542,0.9549,195.58,0.2746,0.7740,0.3422
52_D,0.7711,0.6275,0.9777,34.91,0.7183,0.8324,0.7888
53_D,0.7486,0.5983,0.9683,81.59,0.7573,0.7401,0.7018
54_D,0.8678,0.7665,0.9766,20.12,0.8687,0.8670,0.8842
55_D,0.5825,0.4109,0.9601,89.53,0.4578,0.8005,0.5111
56_D,0.8471,0.7348,0.9754,10.77,0.9239,0.7821,0.8861
57_D,0.3225,0.1922,0.9317,243.46,0.2110,0.6833,0.3270
58_D,0.8521,0.7424,0.9769,15.81,0.8615,0.8430,0.8747
59_D,0.8523,0.7427,0.9737,15.23,0.8682,0.8371,0.8658
5_A,0.8462,0.7334,0.9690,29.00,0.9044,0.7951,0.8219
60_D,0.7760,0.6340,0.9633,41.05,0.7633,0.7891,0.7741
61_D,0.5116,0.3438,0.9437,88.39,0.4230,0.6473,0.4757
62_D,0.6034,0.4321,0.9475,61.30,0.5741,0.6360,0.5869
63_D,0.7407,0.5882,0.9607,46.69,0.7637,0.7191,0.7379
64_D,0.7927,0.6567,0.9682,31.58,0.7972,0.7883,0.8058
65_D,0.7833,0.6437,0.9674,29.00,0.8371,0.7359,0.7946
66_D,0.7606,0.6137,0.9688,94.00,0.7716,0.7498,0.7403
67_D,0.5924,0.4209,0.9428,68.80,0.5446,0.6495,0.6148
68_D,0.7887,0.6512,0.9661,76.38,0.8489,0.7365,0.7675
69_D,0.8524,0.7428,0.9745,21.03,0.9008,0.8089,0.8681
6_A,0.8410,0.7256,0.9738,41.11,0.8564,0.8261,0.8076
70_D,0.8728,0.7744,0.9796,15.65,0.8723,0.8734,0.8914
71_D,0.5730,0.4016,0.9519,81.88,0.4622,0.7536,0.5823
72_D,0.8271,0.7052,0.9741,26.93,0.8564,0.7998,0.8103
73_D,0.7958,0.6608,0.9686,15.56,0.8002,0.7913,0.8682
74_D,0.7929,0.6569,0.9668,20.62,0.8034,0.7828,0.8442
75_D,0.7981,0.6640,0.9665,16.40,0.8001,0.7962,0.8621
76_D,0.4627,0.3010,0.9345,123.79,0.3427,0.7122,0.4751
77_D,0.8566,0.7492,0.9768,10.00,0.8374,0.8768,0.8918
78_D,0.6494,0.4808,0.9663,62.23,0.5384,0.8181,0.6278
79_D,0.8036,0.6717,0.9690,30.48,0.7919,0.8157,0.8173
7_A,0.8150,0.6878,0.9690,27.02,0.8197,0.8104,0.8015
80_D,0.7625,0.6162,0.9666,64.94,0.7687,0.7564,0.7352
81_D,0.8292,0.7082,0.9734,24.70,0.7844,0.8794,0.8673
82_D,0.5407,0.3705,0.9522,70.21,0.4185,0.7638,0.5326
83_D,0.7600,0.6129,0.9642,51.08,0.7289,0.7939,0.7351
84_D,0.8375,0.7204,0.9739,14.04,0.8649,0.8117,0.8569
85_D,0.7590,0.6115,0.9634,34.17,0.7555,0.7624,0.7674
86_D,0.7029,0.5420,0.9564,44.65,0.7101,0.6959,0.6772
87_D,0.8407,0.7252,0.9751,24.04,0.8835,0.8018,0.8462
88_D,0.7320,0.5773,0.9591,69.30,0.7249,0.7392,0.7338
89_D,0.8597,0.7539,0.9779,21.93,0.8712,0.8485,0.8661
8_A,0.7505,0.6007,0.9652,28.16,0.7488,0.7522,0.7314
90_D,0.6411,0.4718,0.9440,82.76,0.5929,0.6977,0.6150
91_D,0.7343,0.5801,0.9577,45.65,0.7511,0.7183,0.7458
92_D,0.7401,0.5875,0.9589,49.04,0.7056,0.7782,0.7070
93_D,0.7206,0.5633,0.9577,41.03,0.7139,0.7275,0.6981
94_D,0.7409,0.5884,0.9688,249.50,0.6783,0.8162,0.7509
95_D,0.5621,0.3909,0.9562,101.07,0.4210,0.8453,0.5275
96_D,0.8251,0.7022,0.9724,20.12,0.8305,0.8197,0.8326
97_D,0.8082,0.6782,0.9721,34.44,0.8395,0.7792,0.8070
98_D,0.8151,0.6879,0.9698,34.40,0.8002,0.8306,0.8053
99_D,0.8225,0.6985,0.9708,16.14,0.8156,0.8296,0.8694
9_A,0.8557,0.7477,0.9737,31.14,0.8700,0.8418,0.8582
