dice,iou,accuracy,hd95,sensitivity,precision,model,image,tumour_type
0.9619826132087712,0.92675,0.9977645874023438,3.1622776601683795,0.9405048839274388,0.9844642145797371,proposed_narrow,brisc2025_test_00387_me_ax_t1.jpg,meningioma
0.9164167166566687,0.8457279940948514,0.9968109130859375,9.848857801796104,0.9847443059733563,0.8569558713537772,proposed_narrow,brisc2025_test_00717_pi_ax_t1.jpg,pituitary
0.33962264150943394,0.20454545454545456,0.9918556213378906,42.44997055358225,0.2062359128474831,0.9614711033274956,proposed_narrow,brisc2025_test_00132_gl_co_t1.jpg,glioma
0.9432976221583486,0.8926805143422354,0.9991722106933594,2.8284271247461903,0.9435441714584423,0.9430512016718914,proposed_narrow,brisc2025_test_00457_me_co_t1.jpg,meningioma
0.9775422659601312,0.956071076011846,0.9983024597167969,2.8284271247461903,0.9763104838709677,0.9787771601819101,proposed_narrow,brisc2025_test_00461_me_co_t1.jpg,meningioma
0.869602032176122,0.7692883895131086,0.9988250732421875,6.4031242374328485,0.9697828139754485,0.7881811204911742,proposed_narrow,brisc2025_test_00782_pi_ax_t1.jpg,pituitary
0.9265347198926535,0.863125,0.9991645812988281,3.9013878188659974,0.8773824650571792,0.9815209665955935,proposed_narrow,brisc2025_test_00030_gl_ax_t1.jpg,glioma
0.9322916666666666,0.8731707317073171,0.9991073608398438,2.837005768508873,0.9132653061224489,0.9521276595744681,proposed_narrow,brisc2025_test_00803_pi_ax_t1.jpg,pituitary
0.9703536696167177,0.9424145368978365,0.9966392517089844,6.4031242374328485,0.9682358471560003,0.9724807770133549,proposed_narrow,brisc2025_test_00265_me_ax_t1.jpg,meningioma
0.48935661325041857,0.3239392020265991,0.9918556213378906,47.16990566028302,0.32978723404255317,0.9481000926784059,proposed_narrow,brisc2025_test_00471_me_co_t1.jpg,meningioma
0.9633524045152312,0.9292959427207638,0.9990959167480469,2.23606797749979,0.9517262450351359,0.9752661239824671,proposed_narrow,brisc2025_test_00215_gl_sa_t1.jpg,glioma
0.8641304347826086,0.7607655502392344,0.9986648559570312,7.0710678118654755,0.8076923076923077,0.9290484140233722,proposed_narrow,brisc2025_test_00058_gl_ax_t1.jpg,glioma
0.9205020920502092,0.8527131782945736,0.9994926452636719,2.8284271247461903,0.9243697478991597,0.9166666666666666,proposed_narrow,brisc2025_test_00947_pi_sa_t1.jpg,pituitary
0.594743036484896,0.4232272473478504,0.9921188354492188,40.311288741492746,0.921580547112462,0.439038517231393,proposed_narrow,brisc2025_test_00390_me_ax_t1.jpg,meningioma
0.9625636139706737,0.9278290475763821,0.9938545227050781,8.046693311223912,0.9802631578947368,0.9454918968272084,proposed_narrow,brisc2025_test_00298_me_ax_t1.jpg,meningioma
