model,dice,dice_median,iou,accuracy,hd95,sensitivity,precision,gflops,params_M,size_mb,latency_ms
proposed,0.8692009247524175,0.9312018119808066,0.7933629827238152,0.996030158996582,14.488899804328101,0.8869761193669045,0.8717367956139519,14.927,8.84,34.06,40.6
proposed_narrow,0.8543229614344415,0.9295571340263005,0.7795167528708642,0.9958689308166504,13.929471332299112,0.8683634465704961,0.8701722599458499,2.794,1.96,7.82,33.9
proposed_pruned,0.850289689102364,0.9134178233265497,0.7684830764750659,0.9954635620117187,17.781182784084596,0.8593188716796071,0.8709713651472377,2.794,1.96,7.82,33.6
unet_pso,0.835158489965297,0.9172058454455798,0.7549106011429417,0.9952408981323242,25.98126000221004,0.8843227756432858,0.8202641840903669,7.623,4.37,16.84,49.4
